id,title,author,source,date,subjects,topic,type,href
c400,The Johnny Cash Show (ABC TV/Screen Gems),Gene Guerrero,The Great Speckled Bird,12 June 1969,"['johnny-cash', 'bob-dylan', 'doug-kershaw', 'joni-mitchell']",country,Film/DVD/TV Review,/Library/SearchLinkRedirect?folder=ithe-johnny-cash-showi-abc-tvscreen-gems
c401,Bobbie Gentry Explains The Trouser Suit Scene,David Griffiths,Record Mirror,5 July 1969,['bobbie-gentry'],country,Interview,/Library/SearchLinkRedirect?folder=bobbie-gentry-explains-the-trouser-suit-scene
c402,The Everly Brothers: Roots (Warner Brothers-Reprise 1752),"Miller Francis Jr., Gene Guerrero",The Great Speckled Bird,7 July 1969,['everly-brothers-the'],country,Review,/Library/SearchLinkRedirect?folder=the-everly-brothers-irootsi-warner-brothers-reprise-1752
c403,Johnny Cash: At San Quentin (CBS mono and stereo 63629; 37s. 6d ),Richard Green,New Musical Express,August 1969,['johnny-cash'],country,Review,/Library/SearchLinkRedirect?folder=johnny-cash-iat-san-quentini-cbs-mono-and-stereo-63629-37s-6d-
c404,"Linda Ronstadt: Bitter End, New York NY",Danny Goldberg,Billboard,9 August 1969,['linda-ronstadt'],country,Live Review,/Library/SearchLinkRedirect?folder=linda-ronstadt-bitter-end-new-york-ny
c405,"Conway Twitty: Darling, You Know I Wouldn't Lie (MCA mono and stereo MUP 386; 37s 6d.)",Richard Green,New Musical Express,23 August 1969,['conway-twitty'],country,Review,/Library/SearchLinkRedirect?folder=conway-twitty-idarling-you-know-i-wouldnt-liei-mca-mono-and-stereo-mup-386-37s-6d
c406,Burritos and Byrds: A talk with Gram Parsons and Chris Hillman,uncredited writer,Helix,4 September 1969,"['byrds-the', 'flying-burrito-brothers']",country,Interview,/Library/SearchLinkRedirect?folder=burritos-and-byrds-a-talk-with-gram-parsons-and-chris-hillman
c407,"Albert King, Poco, the Chambers Brothers: The Pavilion, Flushing Meadows, Queens NY",Danny Goldberg,Billboard,6 September 1969,"['chambers-brothers-the', 'albert-king', 'poco']",country,Live Review,/Library/SearchLinkRedirect?folder=albert-king-poco-the-chambers-brothers-the-pavilion-flushing-meadows-queens-ny
c408,Doors' Soft Parade leads US underground LP releases,uncredited writer,Record Mirror,13 September 1969,"['doors-the', 'fugs-the', 'groundhogs-the', 'lightnin-hopkins', 'gordon-lightfoot', 'loretta-lynn', 'gene-pitney', 'sir-douglas-quintet-the', 'stooges-the', 'elmer-gantrys-velvet-opera', 'juniors-eyes', 'floating-bridge', 'high-tide']",country,Review,/Library/SearchLinkRedirect?folder=doors-isoft-paradei-leads-us-underground-lp-releases
c409,"Doc Watson, Paul Geremia, David Bromberg: Gaslight Café, New York NY",Danny Goldberg,Billboard,27 September 1969,"['david-bromberg', 'doc-watson', 'paul-geremia']",country,Live Review,/Library/SearchLinkRedirect?folder=doc-watson-paul-geremia-david-bromberg-gaslight-caf-new-york-ny
c410,Jerry Lee Lewis: Sings The Country Music Hall Of Fame Hits Vol. 1 and 2 (Mercury),Richard Green,New Musical Express,11 October 1969,['jerry-lee-lewis'],country,Review,/Library/SearchLinkRedirect?folder=jerry-lee-lewis-isings-the-country-music-hall-of-fame-hitsi-vol-1-and-2-mercury
