id,title,author,source,date,subjects,topic,type,href
s7114,Hot Chocolate: Monday Night Fever,Mick Brown,The Guardian,31 July 1982,['hot-chocolate'],soul,Profile and Interview,/Library/SearchLinkRedirect?folder=hot-chocolate-monday-night-fever
s7115,"Light of the World: Hammersmith Odeon, London",Mick Brown,The Guardian,2 August 1982,['light-of-the-world'],soul,Live Review,/Library/SearchLinkRedirect?folder=light-of-the-world-hammersmith-odeon-london
s7116,Carmel: Storm Warning,Mark Cooper,Record Mirror,7 August 1982,['carmel'],soul,Interview,/Library/SearchLinkRedirect?folder=carmel-storm-warning
s7117,Little Richard and Solomon Burke: Sex & God & Rock & Roll,Vernon Gibbs,The Village Voice,10 August 1982,"['solomon-burke', 'little-richard']",soul,Report and Interview,/Library/SearchLinkRedirect?folder=little-richard-and-solomon-burke-sex--god--rock--roll
s7118,"Talking Heads, Defunkt: Greek Theater, Los Angeles CA",Don Waller,Los Angeles Times,10 August 1982,"['defunkt', 'talking-heads']",soul,Live Review,/Library/SearchLinkRedirect?folder=talking-heads-defunkt-greek-theater-los-angeles-ca
s7119,"Rick James, Ray Parker Jr.: Forum, Inglewood CA",Don Waller,Los Angeles Times,23 August 1982,"['rick-james', 'ray-parker-jr']",soul,Live Review,/Library/SearchLinkRedirect?folder=rick-james-ray-parker-jr-forum-inglewood-ca
s7200,Imagination: Work That Body!,Lesley White,The Face,September 1982,['imagination'],soul,Interview,/Library/SearchLinkRedirect?folder=imagination-work-that-body
s7201,Ray Parker Jr.: The Other Woman (Arista),Laura Fissinger,Creem,September 1982,['ray-parker-jr'],soul,Review,/Library/SearchLinkRedirect?folder=ray-parker-jr-ithe-other-womani-arista
s7202,Indeep: Last Night a D.J. Saved My Life (Sound of New York SNY 1201),Mitchell Cohen,High Fidelity,September 1982,['indeep'],soul,Review,/Library/SearchLinkRedirect?folder=indeep-ilast-night-a-dj-saved-my-lifei-sound-of-new-york-sny-1201
s7203,Ashford & Simpson: Hope Is Where You Find It,Don Waller,L.A. Weekly,9 September 1982,['ashford--simpson'],soul,Interview,/Library/SearchLinkRedirect?folder=ashford--simpson-hope-is-where-you-find-it
s7204,Gil Scott-Heron: Moving Target (Arista AL 9606),Don Snowden,Los Angeles Times,26 September 1982,['gil-scott-heron'],soul,Review,/Library/SearchLinkRedirect?folder=gil-scott-heron-imoving-targeti-arista-al-9606
s7205,The Gap Band: Gap Band IV (Total Experience) ***,Michael Goldberg,Rolling Stone,30 September 1982,['gap-band-the'],soul,Review,/Library/SearchLinkRedirect?folder=the-gap-band-igap-band-ivi-total-experience-
s7206,Kid Creole & the Coconuts: Wise Guy (Ze/Sire),j. poet,Creem,October 1982,['kid-creole--the-coconuts'],soul,Review,/Library/SearchLinkRedirect?folder=kid-creole--the-coconuts-iwise-guyi-zesire
s7207,Ronald Shannon Jackson & the Decoding Society: Mandance (Antilles),Richard Cook,New Musical Express,2 October 1982,['ronald-shannon-jackson'],soul,Review,/Library/SearchLinkRedirect?folder=ronald-shannon-jackson--the-decoding-society-imandancei-antilles
s7208,Kool & The Gang: As One (De-Lite),Danny Baker,New Musical Express,2 October 1982,['kool-and-the-gang'],soul,Review,/Library/SearchLinkRedirect?folder=kool--the-gang-ias-onei-de-lite
s7209,Aretha Franklin: Telephone Hang-Ups,Lloyd Bradley,New Musical Express,9 October 1982,['aretha-franklin'],soul,Interview,/Library/SearchLinkRedirect?folder=aretha-franklin-telephone-hang-ups
s7210,"Kool & The Gang: Apollo, Victoria",Richard Williams,The Times,16 October 1982,['kool-and-the-gang'],soul,Live Review,/Library/SearchLinkRedirect?folder=kool--the-gang-apollo-victoria
s7211,The Time: What Time Is It? (Warner Bros. 1-23701); Vanity 6: Vanity 6 (Warner Bros. 1-23716),Don Waller,Los Angeles Times,24 October 1982,"['time-the', 'vanity-6']",soul,Review,/Library/SearchLinkRedirect?folder=the-time-iwhat-time-is-iti-warner-bros-1-23701-vanity-6-ivanity-6i-warner-bros-1-23716
s7212,"Luther Vandross, Cheryl Lynn: Greek Theater, Los Angeles CA",Richard Cromelin,Los Angeles Times,28 October 1982,"['cheryl-lynn', 'luther-vandross']",soul,Live Review,/Library/SearchLinkRedirect?folder=luther-vandross-cheryl-lynn-greek-theater-los-angeles-ca
s7213,The Neville Brothers: Shaking Off Limbo,Bill Bentley,L.A. Weekly,4 November 1982,['neville-brothers-the'],soul,Profile and Interview,/Library/SearchLinkRedirect?folder=the-neville-brothers-shaking-off-limbo
s7214,James Blood Ulmer: Black Rock (CBS),Richard Cook,New Musical Express,13 November 1982,['james-blood-ulmer'],soul,Review,/Library/SearchLinkRedirect?folder=james-blood-ulmer-iblack-rocki-cbs
s7215,Ava Cherry: Bowie Backups and Beyond,Mark Leviton,BAM,19 November 1982,['ava-cherry'],soul,Interview,/Library/SearchLinkRedirect?folder=ava-cherry-bowie-backups-and-beyond
s7216,"Shalamar: Dominion, London",Mick Brown,The Guardian,23 November 1982,['shalamar'],soul,Live Review,/Library/SearchLinkRedirect?folder=shalamar-dominion-london
s7217,"Millie Jackson: Hammersmith Odeon, London",Roger St. Pierre,Blues & Soul,30 November 1982,['millie-jackson'],soul,Live Review,/Library/SearchLinkRedirect?folder=millie-jackson-hammersmith-odeon-london-2
s7218,Cheryl Lynn: Cheryl & Luther's Instant Love Affair...,John Abbey,Blues & Soul,30 November 1982,"['cheryl-lynn', 'luther-vandross']",soul,Interview,/Library/SearchLinkRedirect?folder=cheryl-lynn-cheryl--luthers-instant-love-affair
s7219,Gwen McCrae: Gwen's Return Trip,John Abbey,Blues & Soul,30 November 1982,['gwen-mccrae'],soul,Interview,/Library/SearchLinkRedirect?folder=gwen-mccrae-gwens-return-trip
s7300,Klymaxx: The Feminine Touch,John Abbey,Blues & Soul,30 November 1982,['klymaxx'],soul,Interview,/Library/SearchLinkRedirect?folder=klymaxx-the-feminine-touch
s7301,Shalamar,Peter Silverton,Smash Hits,9 December 1982,['shalamar'],soul,Profile and Interview,/Library/SearchLinkRedirect?folder=shalamar
s7302,Michael Jackson: Thriller (Epic QE 38112),Richard Cromelin,Los Angeles Times,12 December 1982,['michael-jackson'],soul,Review,/Library/SearchLinkRedirect?folder=michael-jackson-ithrilleri-epic-qe-38112
s7303,Vandross adds '60s Emotion to '80s Technology,Geoffrey Himes,Baltimore Sun,17 December 1982,['luther-vandross'],soul,Profile and Interview,/Library/SearchLinkRedirect?folder=vandross-adds-60s-emotion-to-80s-technology
s7304,Prince: 1999 (Warner Bros.),Laura Fissinger,Musician,January 1983,['prince'],soul,Review,/Library/SearchLinkRedirect?folder=prince-i1999i-warner-bros
s7305,George Clinton: The Mad Professor,Paolo Hewitt,Melody Maker,8 January 1983,"['george-clinton', 'funkadelic', 'parliament']",soul,Interview,/Library/SearchLinkRedirect?folder=george-clinton-the-mad-professor
s7306,Montana Climbing,Paul Sexton,Record Mirror,8 January 1983,['vince-montana'],soul,Interview,/Library/SearchLinkRedirect?folder=montana-climbing
s7307,Grace Jones: Living My Life (Island 90018),Richard Cromelin,Los Angeles Times,15 January 1983,['grace-jones'],soul,Review,/Library/SearchLinkRedirect?folder=grace-jones-iliving-my-lifei-island-90018
s7308,George Clinton: The Return Of Doctor Funkenstein,Lloyd Bradley,New Musical Express,15 January 1983,['george-clinton'],soul,Interview,/Library/SearchLinkRedirect?folder=george-clinton-the-return-of-doctor-funkenstein
s7309,Prince: 1999 (Warner Bros 1-223720),Betty Page,Record Mirror,15 January 1983,['prince'],soul,Review,/Library/SearchLinkRedirect?folder=prince-i1999i-warner-bros-1-223720
s7310,Marvin Gaye: Midnight Love (Columbia) ****,Dave Marsh,Rolling Stone,20 January 1983,['marvin-gaye'],soul,Review,/Library/SearchLinkRedirect?folder=marvin-gaye-imidnight-lovei-columbia-
s7311,Singles Reviewed by MARK COOPER,Mark Cooper,Record Mirror,22 January 1983,"['virginia-astley', 'aztec-camera', 'bauhaus', 'dire-straits', 'earth-wind--fire', 'aretha-franklin', 'gap-band-the', 'haysi-fantayzee', 'michael-jackson', 'cheryl-lynn', 'manfred-mann', 'johnny-mathis', 'rockers-revenge', 'supertramp', 'tears-for-fears', 'thompson-twins-the', 'toto', 'dionne-warwick', 'indeep', 'central-line', 'blue-zoo', 'polecats-the']",soul,Review,/Library/SearchLinkRedirect?folder=singles-reviewed-by-mark-cooper
s7312,S.O.S. Band: S.O.S. lll; New York Skyy: Skyyjammer; Chaka Khan: Chaka Khan; Richard 'Dimples' Fields: Give Everybody Some!,Barney Hoskyns,New Musical Express,29 January 1983,"['chaka-khan', 'sos-band-the', 'richard-dimples-fields', 'skyy-us']",soul,Review,/Library/SearchLinkRedirect?folder=sos-band-isos-llli-new-york-skyy-iskyyjammeri-chaka-khan-ichaka-khani-richard-dimples-fields-igive-everybody-somei
s7313,Linx: Last Linx (Chrysalis CHR 1409),Betty Page,Record Mirror,29 January 1983,['linx'],soul,Review,/Library/SearchLinkRedirect?folder=linx-ilast-linxi-chrysalis-chr-1409
s7314,Michael Jackson: Thriller (Epic),Mark Rowland,Musician,February 1983,['michael-jackson'],soul,Review,/Library/SearchLinkRedirect?folder=michael-jackson-ithrilleri-epic-2
s7315,Prince: 1999 (Warner Bros.),Richard Riegel,Creem,February 1983,['prince'],soul,Review,/Library/SearchLinkRedirect?folder=prince-1999-warner-bros
s7316,"Sharon Redd: Embassy club, London",Neil Tennant,Smash Hits,3 February 1983,['sharon-redd'],soul,Live Review,/Library/SearchLinkRedirect?folder=sharon-redd-embassy-club-london
s7317,"Bland, Dull and Vandross",Lloyd Bradley,New Musical Express,5 February 1983,['luther-vandross'],soul,Profile and Interview,/Library/SearchLinkRedirect?folder=bland-dull-and-vandross
s7318,Big Bad Prince Charles,Richard Grabel,New Musical Express,12 February 1983,['prince-charles--the-city-beat-band'],soul,Interview,/Library/SearchLinkRedirect?folder=big-bad-prince-charles
s7319,Syl Johnson: Ms Fine Brown Frame (Erect/Import),Lloyd Bradley,New Musical Express,12 February 1983,['syl-johnson'],soul,Review,/Library/SearchLinkRedirect?folder=syl-johnson-ims-fine-brown-framei-erectimport
s7400,"The Commodores, 52nd Street: Hammersmith Odeon, London",Paul Sexton,Record Mirror,12 February 1983,"['commodores-the', '52nd-street']",soul,Live Review,/Library/SearchLinkRedirect?folder=the-commodores-52nd-street-hammersmith-odeon-london
s7401,Rockers Revenge: Revenge is Sweet,Mark Cooper,Record Mirror,19 February 1983,['rockers-revenge'],soul,Interview,/Library/SearchLinkRedirect?folder=rockers-revenge-revenge-is-sweet
s7402,Rockers Revenge: The Harder They Fall,Paolo Hewitt,New Musical Express,26 February 1983,['rockers-revenge'],soul,Interview,/Library/SearchLinkRedirect?folder=rockers-revenge-the-harder-they-fall
s7403,"Luther Vandross: Dominion Theatre, London",Paolo Hewitt,New Musical Express,26 February 1983,['luther-vandross'],soul,Live Review,/Library/SearchLinkRedirect?folder=luther-vandross-dominion-theatre-london
s7404,1982 Black Music Report,Paul Yamada,Coolest Retard,March 1983,"['material', 'prince', 'ronald-shannon-jackson', 'james-blood-ulmer']",soul,Overview,/Library/SearchLinkRedirect?folder=1982-black-music-report
s7405,George Clinton: Computer Games (Capitol),J.D. Considine,Musician,March 1983,['george-clinton'],soul,Review,/Library/SearchLinkRedirect?folder=george-clinton-icomputer-gamesi-capitol
s7406,Grace Jones: Living My Life (Island),Laura Fissinger,Creem,March 1983,['grace-jones'],soul,Review,/Library/SearchLinkRedirect?folder=grace-jones-iliving-my-lifei-island
s7407,Material: One Down (Elektra 60206),Sam Sutherland,High Fidelity,March 1983,['material'],soul,Review,/Library/SearchLinkRedirect?folder=material-ione-downi-elektra-60206
s7408,Michael Jackson: Thriller (Epic QE 38112),Mitchell Cohen,High Fidelity,March 1983,['michael-jackson'],soul,Review,/Library/SearchLinkRedirect?folder=michael-jackson-ithrilleri-epic-qe-38112-2
s7409,"Luther Vandross: Dominion Theatre, London",Dave Rimmer,Smash Hits,3 March 1983,['luther-vandross'],soul,Live Review,/Library/SearchLinkRedirect?folder=luther-vandross-dominion-theatre-london-2
s7410,George Clinton: The Gangster Of Funk,Don Waller,L.A. Weekly,3 March 1983,['george-clinton'],soul,Interview,/Library/SearchLinkRedirect?folder=george-clinton-the-gangster-of-funk
s7411,"Prince, The Time, Vanity 6: Civic Center, Baltimore MD",Geoffrey Himes,Baltimore Sun,7 March 1983,"['prince', 'time-the', 'vanity-6']",soul,Live Review,/Library/SearchLinkRedirect?folder=prince-the-time-vanity-6-civic-center-baltimore-md
s7412,"Ronald Shannon Jackson's Decoding Society: Roundhouse, London",Richard Williams,The Times,18 March 1983,['ronald-shannon-jackson'],soul,Live Review,/Library/SearchLinkRedirect?folder=ronald-shannon-jacksons-decoding-society-roundhouse-london
s7413,The Gap Band: Rap With The Gap,Robin Katz,Soundmaker,19 March 1983,['gap-band-the'],soul,Interview,/Library/SearchLinkRedirect?folder=the-gap-band-rap-with-the-gap
s7414,Janet Jackson: Janet Jackson (A&M AMLH 64907),Paul Sexton,Record Mirror,26 March 1983,['janet-jackson'],soul,Review,/Library/SearchLinkRedirect?folder=janet-jackson-ijanet-jacksoni-am-amlh-64907
s7415,The Kids from Fame: The Famous Five,Dave Rimmer,Smash Hits,31 March 1983,['kids-from-fame-the'],soul,Interview,/Library/SearchLinkRedirect?folder=the-kids-from-ifamei-the-famous-five
s7416,Al Green: Sanctity & Sexuality on a Higher Plane,Geoffrey Himes,Musician,April 1983,['al-green'],soul,Interview,/Library/SearchLinkRedirect?folder=al-green-sanctity--sexuality-on-a-higher-plane
s7417,The Whispers: Love For Love (Solar E0216),Paul Sexton,Record Mirror,9 April 1983,['whispers-the'],soul,Review,/Library/SearchLinkRedirect?folder=the-whispers-ilove-for-lovei-solar-e0216
s7418,Smokey Robinson: Touch The Sky (Motown STML 12175),Paul Sexton,Record Mirror,9 April 1983,['smokey-robinson'],soul,Review,/Library/SearchLinkRedirect?folder=smokey-robinson-itouch-the-skyi-motown-stml-12175
s7419,"Prince: Radio City Music Hall, New York NY",Richard Grabel,New Musical Express,16 April 1983,['prince'],soul,Live Review,/Library/SearchLinkRedirect?folder=prince-radio-city-music-hall-new-york-ny
s7500,New Edition: Editions Of Youth,Richard Grabel,New Musical Express,16 April 1983,['new-edition'],soul,Interview,/Library/SearchLinkRedirect?folder=new-edition-editions-of-youth
s7501,Joe Sample: The Hunter (MCA MCF 3164),Paul Sexton,Record Mirror,30 April 1983,['joe-sample'],soul,Review,/Library/SearchLinkRedirect?folder=joe-sample-ithe-hunteri-mca-mcf-3164
s7502,Time For The Prince Who Will Be King,Vernon Gibbs,Creem,May 1983,"['prince', 'time-the', 'vanity-6']",soul,Profile,/Library/SearchLinkRedirect?folder=time-for-the-prince-who-will-be-king
s7503,The Valentine Brothers: Valentines Day,Roger St. Pierre,Blues & Soul,3 May 1983,['valentine-brothers-the'],soul,Interview,/Library/SearchLinkRedirect?folder=the-valentine-brothers-valentines-day
s7504,Debarge: The New First Family Of Motown,John Abbey,Blues & Soul,3 May 1983,['debarge'],soul,Interview,/Library/SearchLinkRedirect?folder=debarge-the-new-first-family-of-motown
s7505,Aurra: Live And Let Live (Salsoul SA 8559),John Abbey,Blues & Soul,3 May 1983,['aurra'],soul,Review,/Library/SearchLinkRedirect?folder=aurra-ilive-and-let-livei-salsoul-sa-8559
s7506,Lonnie Liston Smith: Escape From Limbo...,John Abbey,Blues & Soul,3 May 1983,['lonnie-liston-smith'],soul,Interview,/Library/SearchLinkRedirect?folder=lonnie-liston-smith-escape-from-limbo
s7507,Lock Up Yer Women... Prince Charles Is Comin',John Abbey,Blues & Soul,3 May 1983,['prince-charles--the-city-beat-band'],soul,Interview,/Library/SearchLinkRedirect?folder=lock-up-yer-women-prince-charles-is-comin
s7508,The Whispers: Love For Love (Solar 60216),John Abbey,Blues & Soul,3 May 1983,['whispers-the'],soul,Review,/Library/SearchLinkRedirect?folder=the-whispers-ilove-for-lovei-solar-60216
s7509,Charles Sticks With Tune That Hyped His Career,Geoffrey Himes,Baltimore Sun,6 May 1983,['ray-charles'],soul,Profile and Interview,/Library/SearchLinkRedirect?folder=charles-sticks-with-tune-that-hyped-his-career
s7510,Labelle: Girl Group to Gospel,Geoffrey Himes,Baltimore Sun,8 May 1983,"['labelle', 'patti-labelle']",soul,Interview,/Library/SearchLinkRedirect?folder=labelle-girl-group-to-gospel
s7511,Mary Jane Girls: Candy Girls,Paul Sexton,Record Mirror,14 May 1983,['mary-jane-girls-the'],soul,Interview,/Library/SearchLinkRedirect?folder=mary-jane-girls-candy-girls
s7512,"Prince Charles & the City Beat Band: The Venue, London",Paolo Hewitt,New Musical Express,21 May 1983,['prince-charles--the-city-beat-band'],soul,Live Review,/Library/SearchLinkRedirect?folder=prince-charles--the-city-beat-band-the-venue-london
s7513,New Edition,Dave Rimmer,Smash Hits,26 May 1983,['new-edition'],soul,Profile and Interview,/Library/SearchLinkRedirect?folder=new-edition
s7514,Prince: Someday Your Prince Will Come,Carol Cooper,The Face,June 1983,['prince'],soul,Essay,/Library/SearchLinkRedirect?folder=prince-someday-your-prince-will-come
s7515,"Marvin Gaye: Radio City Music Hall, New York",Richard Grabel,New Musical Express,4 June 1983,['marvin-gaye'],soul,Live Review,/Library/SearchLinkRedirect?folder=marvin-gaye-radio-city-music-hall-new-york
s7516,"The Bar-Kays, Nona Hendryx, Gladys Knight: Veteran Hitmakers Span The Generations",Vernon Gibbs,Billboard,4 June 1983,"['bar-kays-the', 'nona-hendryx', 'gladys-knight-and-the-pips']",soul,Interview,/Library/SearchLinkRedirect?folder=the-bar-kays-nona-hendryx-gladys-knight-veteran-hitmakers-span-the-generations
